title,filename,permalink,transcription,translation
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00399-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WVRNB,"790. 797.

Sir

Your Letters of the 15th & 19th Ins:t to the Board, have been read to them, as also your Letter to me.  Upon which they have commanded me to repeat to you their Acknowledgements & Thanks for you punctual Correspondance, and to acquaint you, that they have set all their Clerks at Work to copy the sev:l Papers in this Office, that may answer the several Queries you make in your Letter to me; But as they are pretty long & voluminous, I fear, it will be about this Day ten: night before they can be finished; However, no time shall be lost in the doing of it.  In the mean time, I am

Sir

Your most obedient & most humble Servant,
Wm Dopple 

Whitehall,
Janry 14th 1719/20
The Hon:ble Dan:l Pluteney Esq:r",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00400-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WVJBD,[no text for transcription],
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00401-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WOM31,"797.

Sir

Since our Letter to you, of the 21st: of last month, We have rec'd yours of 27th: Jan:ry  1:st, 3:d, 5:th, 10:th, 14:th & 22:d Instant N: S: for which and the Information you therein give Us, of the Mississippi Company, the Bank and of several other Matters, We return you Our hearty Acknowledgm:ts & Thanks.

Tho We did not expect you wou'd be able to give Us a particular Answer to the Quere We sent you in relation to the Duties payable in the Provinces not comprehended in the Tarif of 1664, because We find by Our Books, that those who made the Treaty of Commerce at Utrecht, were not able to do it; Yet as We apprehend that they did not take proper Methods to be sufficiently inform'd, We gave you the Trouble of that Inquiry.

We observe what you write in relation to the Hardships Our British Merchants complain of, which were in some Measure, tho not fully provided for by the Treaty of Commerce, & particularly that of the Droit d'Abêne; But We do not see, considering that the said Treaty has not yet had its Effect, what can be done at present.

We are very glad to have receiv'd from you the Copy of the Regent's Order for putting St: Lucia into the Condition it was in, before 

The Hon:ble
Daniel Pulteney",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00402-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WOFS8,"798.

before the Grant of it the Mareschal d'Estreé; But that Order was by the Informations We have had, leave about 50 French families settled there, & may in time give the French a pretence to claim a Right by possession, and make that one of their Droits incontestables; However, if the French Commissaries have given you any Deduction of their Title to that Island, We shall be oblig'd to you for an Account of it.

We were in hopes to have heard from you that the Conference with the French Commissaries upon the other matters, which you were impower'd to treat as had been renew'd and shall always very thankfully receive what Information you shall give Us upon those or any other Matters; We are,

Sir,

Your most Obedient & most humble Servants,

Westmorland
J. Chetwynd
Charles Cooke
C. Docminique
J. Molesworth
T. Pelham
Martin Bladen

Whitehal,
Febr:y 23:d 1719/20",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00403-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WO984,"801. 805

Sir

I am honour'd with yours of 12th Inst: N: S: and am to acquaint You, that the Board are very well satisfied with the Information You give them in relation to the Duties that were paid in the Provinces not comprehended in the Tariff of 1664, and therefore what they writ You in their Letter of 23:d of last Month, was only to give You the Reasons for their having made  that Enquiry, & not that they intended to give You any further Trouble upon that Matter; However they would be very glad if You could procure them the Tariff of 1667, which they have not. 

There have of late been several Complaints exhibited against Mr. Lowther, two of which were referr'd to this Board relating to his taking Presents to the Value of £23,000 and upwards, and to his admitting a Spanish Ship to trade at Barbados, contrary to the Acts of Trade; Both which Articles have appear'd plainly to the Board from the Minutes of Council & Assembly, & his own Letters; so that a Representation has been made, stating the Facts as they appear'd to
the

The Hon:ble Dan. Pulteney, Esqr",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00404-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W6VQ5,"800. 802.

the Board.  Several other Complaints against him have been heard  before the Lords of the Committee of Council, which have been to his Disadvantage, so that it is expected he will soon be recalled.

The Board having made further Enquiry in relation to S:ta Lucia, have received two Papers whereof the inclosed are Copies from Mr. Sharpe, late President of the Council of Barbados, and Mr. Gordon, whom You know.  These were in Answer to the Queries You made some time ago in a Letter to me.  I am, 

Sir,

Your most Obedient and most humble Servant,

Wm Dopple

P:S:  Since the writing of this, I have in an old Book found the printed Tariff of 1667, so that You need not be at the trouble of sending it.

The inclos'd Pamphlet was given by Mr. Gec, to Board.

WD",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00405-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W6M41,"805

Sir,

His Majesty having been pleas'd to refer to Us an Address of the House of Commons, (a Copy whereof is here inclos'd) relating to proper Methods for preventing the running of Wooll from Great Britain & Ireland into foreign Parts, We are taking all the necessary Measures to be thoroughly appriz'd of the several Abuses committed therein, And as this is of Importance to Great Britain, We intreat you to give your Self the Trouble of enquiring, as well as you are able, into all Matters relating to this affair, & of communicating to Us what Informations you can obtain thereupon.

We are,  

Sir,

Your most obedient humble Servant,

Westmorland

Charles Cooke
C. Docminique
T. Pelham

Whitehall,
July y:e 1:st 1720

Hon:ble Dan:l Pulteney, Esq:re",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00406-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WOXPR,"807.

Jovis, 5. die May 1720

Resolv'd, Nemine Contradicente, That an Humble Address be presented to His Majesty, That he wil be graciously pleas'd to issue his Royal Proclamation, promising such further Reward as he shall think fit for the discovering any Person or Persons that shall run or export Wooll or Woollen Yarn, until further Provision shall be made by Parliament for preventing the same ; And that His Majesty will further be graciously pleas'd to order the Commissioners of Trade & Plantations, during the Recess of Parliament, to consider of, & lay before His Majesty, & both Houses of Parliament, at the beginning of the next Session of Parliament what they shall find further necessary to be done to prevent that pernicious Practice of runing Wooll from Great Britain & Ireland into Foreign parts, which is so destructive to the Woollen Manufactures of this Kingdom.",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00409-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W6N52,"813.

Sir

I have spoke to the Board about what you write in your Letter of the 17th Aug:t N.S. in relation to Judge Conservadors in Spain, but they have been in such a Hurry occasion'd by so many different References from us Lords Justices which requir'd immediate Dispatch that they have not been able to consider what you propose, so as to direct me to give you an Answer, particularly they were requir'd to prepare a Commission & Instructions for a Governor of Carolina under the King, & withal to propose what might be reasonable & necessary for securing our Frontiers in those parts ag:t the French on Mississipi, who as tis rumour'd here are endeavouring to make a Settlem:t upon the River St: Mathco on the Eastern Coast of Florida, between St: Augustine & Carolina which will be, if effected, of dangerous Consequence to all our Plantations.  The Representation that went with the Instructions was  but provisional till the main Report upon all the Plantations can be finish'd.  However as there are several things in it worth Notice I send you a Copy thereof here inclosed.  When the gen:l Representation

is",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00410-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WOTYK,"814.

is done (which I cannot foresee will be in a little time) I will send you also a Copy of it.

There are no Answers to the Queries sent to the Governors, but what you saw when you went from hence, particularly Mr. Keith's Answer.  But upon this Occasion the Board have given the same Queries but with some Additions to several Persons here.  Some of them have return'd Answers, & others not, as soon as I get a spare Hand.  You shall be sure to have Copies of them as they come.

I have receiv'd Edicts Arrêts or Regulations mention'd in your several Letters and particularly in that of the 3:d Sept:r N.S. with the Code Marin for which the Board command we to return you their hearty Thanks.  

I had forgot to tell you that the Lords Justices have agreed to what is propos'd in the foremention'd Rep:ts relating to Carolina, and have sent it to his Ma:ty for his Approbation.  Upon this Occasion they have requir'd the Board to lay before them a Representation of what may be necessary to the Bahama Islands.

They",
